id,type,star,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,10,2,1055,5,,,,,,,
2,1,20,2,1055,5,,,,,,,
3,1,30,2,1055,5,,,,,,,
4,1,40,2,1055,5,2,1056,5,,,,
5,1,50,2,1055,5,,,,,,,
6,1,60,2,1055,5,,,,,,,
7,1,70,2,1055,6,,,,,,,
8,1,80,2,1055,6,2,1056,5,,,,
9,1,90,2,1055,6,,,,,,,
10,1,100,2,1055,7,,,,,,,
11,1,110,2,1055,7,,,,,,,
12,1,120,2,1055,7,2,1056,6,,,,
13,1,130,2,1055,8,,,,,,,
14,1,140,2,1055,8,,,,,,,
15,1,150,2,1055,8,,,,,,,
16,1,160,2,1055,9,2,1056,6,,,,
17,1,170,2,1055,9,,,,,,,
18,1,180,2,1055,9,,,,,,,
19,1,190,2,1055,10,,,,,,,
20,1,200,2,1055,10,2,1056,7,,,,
21,1,210,2,1055,10,,,,,,,
22,1,220,2,1055,11,,,,,,,
23,1,230,2,1055,11,,,,,,,
24,1,240,2,1055,11,2,1056,7,,,,
25,1,250,2,1055,12,,,,,,,
26,1,260,2,1055,12,,,,,,,
27,1,270,2,1055,12,,,,,,,
28,1,280,2,1055,13,2,1056,8,,,,
29,1,290,2,1055,13,,,,,,,
30,1,300,2,1055,13,,,,,,,
31,1,310,2,1055,14,,,,,,,
32,1,320,2,1055,14,2,1056,8,,,,
33,1,330,2,1055,14,,,,,,,
34,1,340,2,1055,15,,,,,,,
35,1,350,2,1055,15,,,,,,,
36,1,360,2,1055,15,2,1056,9,,,,
37,1,370,2,1055,16,,,,,,,
38,1,380,2,1055,16,,,,,,,
39,1,390,2,1055,16,,,,,,,
40,1,400,2,1055,17,2,1056,9,,,,
41,1,410,2,1055,17,,,,,,,
42,1,420,2,1055,17,,,,,,,
43,1,430,2,1055,18,,,,,,,
44,1,440,2,1055,18,2,1056,10,,,,
45,1,450,2,1055,18,,,,,,,
46,1,460,2,1055,19,,,,,,,
47,1,470,2,1055,19,,,,,,,
48,1,480,2,1055,19,2,1056,10,,,,
49,1,490,2,1055,20,,,,,,,
50,1,500,2,1055,20,,,,,,,
51,1,510,2,1055,20,,,,,,,
52,1,520,2,1055,21,2,1056,11,,,,
53,1,530,2,1055,21,,,,,,,
54,1,540,2,1055,21,,,,,,,
55,1,550,2,1055,22,,,,,,,
56,1,560,2,1055,22,2,1056,11,,,,
57,1,570,2,1055,22,,,,,,,
58,1,580,2,1055,23,,,,,,,
59,1,590,2,1055,23,,,,,,,
60,1,600,2,1055,23,2,1056,12,,,,
61,1,610,2,1055,24,,,,,,,
62,1,620,2,1055,24,,,,,,,
63,1,630,2,1055,24,,,,,,,
64,1,640,2,1055,25,2,1056,12,,,,
65,1,650,2,1055,25,,,,,,,
66,1,660,2,1055,25,,,,,,,
67,1,670,2,1055,26,,,,,,,
68,1,680,2,1055,26,2,1056,13,,,,
69,1,690,2,1055,26,,,,,,,
70,1,700,2,1055,27,,,,,,,
71,1,710,2,1055,27,,,,,,,
72,1,720,2,1055,27,2,1056,13,,,,
73,1,730,2,1055,28,,,,,,,
74,1,740,2,1055,28,,,,,,,
75,1,750,2,1055,28,,,,,,,
76,1,760,2,1055,29,2,1056,14,,,,
77,1,770,2,1055,29,,,,,,,
78,1,780,2,1055,29,,,,,,,
79,1,790,2,1055,30,,,,,,,
80,1,800,2,1055,30,2,1056,14,,,,
81,1,810,2,1055,30,,,,,,,
82,1,820,2,1055,31,,,,,,,
83,1,830,2,1055,31,,,,,,,
84,1,840,2,1055,31,2,1056,15,,,,
85,1,850,2,1055,32,,,,,,,
86,1,860,2,1055,32,,,,,,,
87,1,870,2,1055,32,,,,,,,
88,1,880,2,1055,33,2,1056,15,,,,
89,1,890,2,1055,33,,,,,,,
90,1,900,2,1055,33,,,,,,,
91,1,910,2,1055,34,,,,,,,
92,1,920,2,1055,34,2,1056,16,,,,
93,1,930,2,1055,34,,,,,,,
94,1,940,2,1055,35,,,,,,,
95,1,950,2,1055,35,,,,,,,
96,1,960,2,1055,35,2,1056,16,,,,
97,1,970,2,1055,36,,,,,,,
98,1,980,2,1055,36,,,,,,,
99,1,990,2,1055,36,,,,,,,
100,1,1000,2,1055,37,2,1056,17,,,,
101,1,1010,2,1055,37,,,,,,,
102,1,1020,2,1055,37,,,,,,,
103,1,1030,2,1055,38,,,,,,,
104,1,1040,2,1055,38,2,1056,17,,,,
105,1,1050,2,1055,38,,,,,,,
106,1,1060,2,1055,39,,,,,,,
107,1,1070,2,1055,39,,,,,,,
108,1,1080,2,1055,39,2,1056,18,,,,
109,1,1090,2,1055,40,,,,,,,
110,1,1100,2,1055,40,,,,,,,
111,1,1110,2,1055,40,,,,,,,
