id,activityId,pos%1,pos%2,pos%3,pos%4,pos%5,pos%6,pos%7,pos%8,pos%9,weight,maxTimes,
1,2000,15015,15009,15011,15009,15015,15011,15009,15011,15015,1,1,
2,2000,15009,15015,15011,15009,15015,15011,15011,15015,15009,1,1,
3,2000,15009,15009,15015,15011,15015,15011,15015,15011,15009,1,1,
4,2000,15009,15009,15011,15015,15015,15015,15011,15009,15011,1,1,
5,2000,15015,15015,15015,15011,15009,15011,15009,15011,15009,1,1,
6,2000,15011,15009,15011,15009,15011,15009,15015,15015,15015,1,1,
7,2000,15015,15011,15009,15015,15011,15009,15015,15009,15011,1,1,
8,2000,15009,15011,15015,15011,15009,15015,15011,15009,15015,1,1,
9,2000,15009,15015,15011,15015,15009,15011,15015,15011,15009,5,,
10,2000,15015,15009,15011,15015,15009,15011,15011,15009,15015,5,,
11,2000,15015,15015,15009,15011,15009,15011,15009,15011,15015,5,,
12,2000,15015,15015,15011,15009,15009,15009,15011,15015,15011,5,,
13,2000,15009,15009,15009,15011,15015,15011,15015,15011,15015,5,,
14,2000,15011,15015,15011,15015,15011,15015,15009,15009,15009,5,,
15,2000,15009,15011,15015,15009,15011,15015,15009,15015,15011,5,,
16,2000,15015,15011,15009,15011,15015,15009,15011,15015,15009,5,,
17,2000,15015,15009,15011,15015,15015,15011,15009,15011,15009,5,,
18,2000,15015,15015,15011,15009,15015,15011,15011,15009,15009,5,,
19,2000,15009,15015,15015,15011,15015,15011,15009,15011,15009,5,,
20,2000,15009,15009,15011,15015,15015,15009,15011,15015,15011,5,,
21,2000,15015,15015,15009,15011,15015,15011,15009,15011,15009,5,,
22,2000,15011,15009,15011,15009,15011,15015,15015,15015,15009,5,,
23,2000,15015,15011,15009,15015,15011,15009,15009,15015,15011,5,,
24,2000,15009,15011,15015,15011,15015,15015,15011,15009,15009,5,,
25,2000,15011,15009,15015,15009,15011,15015,15009,15015,15011,5,,
26,2000,15009,15011,15015,15009,15011,15015,15015,15011,15009,5,,
27,2000,15009,15009,15011,15015,15011,15015,15011,15015,15009,5,,
28,2000,15009,15009,15015,15011,15011,15011,15015,15009,15015,5,,
29,2000,15011,15011,15011,15015,15009,15015,15009,15015,15009,5,,
30,2000,15015,15009,15015,15009,15015,15009,15011,15011,15011,5,,
31,2000,15011,15015,15009,15011,15015,15009,15011,15009,15015,5,,
32,2000,15009,15015,15011,15015,15009,15011,15015,15009,15011,5,,
33,2000,15009,15009,15015,15009,15011,15015,15015,15011,15011,70,,
34,2000,15015,15009,15015,15009,15011,15015,15011,15011,15009,70,,
35,2000,15015,15009,15009,15015,15011,15011,15011,15015,15009,70,,
36,2000,15015,15009,15015,15009,15011,15011,15015,15009,15011,70,,
37,2000,15009,15011,15011,15011,15015,15015,15009,15015,15009,70,,
38,2000,15015,15015,15011,15009,15015,15009,15009,15011,15011,70,,
39,2000,15009,15015,15015,15011,15015,15009,15011,15009,15011,70,,
40,2000,15009,15015,15009,15011,15015,15011,15015,15009,15011,70,,
41,2000,15009,15011,15015,15009,15009,15015,15011,15015,15011,70,,
42,2000,15009,15009,15015,15011,15009,15015,15015,15011,15011,70,,
43,2000,15009,15011,15009,15015,15009,15015,15011,15015,15011,70,,
44,2002,15013,15012,15014,15012,15013,15014,15012,15014,15013,1,1,
45,2002,15012,15013,15014,15012,15013,15014,15014,15013,15012,1,1,
