lv,exp,getEX,
0,20,0,
1,25,20,
2,30,45,
3,35,75,
4,45,110,
5,55,155,
6,65,210,
7,75,275,
8,85,350,
9,100,435,
10,115,535,
11,130,650,
12,145,780,
13,160,925,
14,180,1085,
15,200,1265,
16,220,1465,
17,240,1685,
18,260,1925,
19,285,2185,
20,310,2470,
21,335,2780,
22,360,3115,
23,385,3475,
24,415,3860,
25,445,4275,
26,475,4720,
27,505,5195,
28,535,5700,
29,575,6235,
30,615,6810,
31,655,7425,
32,695,8080,
33,735,8775,
34,785,9510,
35,835,10295,
36,885,11130,
37,935,12015,
38,985,12950,
39,1045,13935,
40,1105,14980,
41,1165,16085,
42,1225,17250,
43,1285,18475,
44,1355,19760,
45,1425,21115,
46,1495,22540,
47,1565,24035,
48,1635,25600,
49,1715,27235,
50,1795,28950,
51,1875,30745,
52,1955,32620,
53,2035,34575,
54,2115,36610,
55,2215,38725,
56,2315,40940,
57,2415,43255,
58,2515,45670,
59,2615,48185,
60,,50800,
