id,icon,iconId,desc,isLock,
1,s==7|map_001,40001,s==20|Màu xanh nguyên thủy,1,
2,s==7|map_002,40002,s==13|Núi xanh thẳm,0,
3,s==7|map_003,40003,s==18|Thảo nguyên xanh 1,1,
4,s==7|map_004,40004,s==18|Thảo nguyên xanh 2,1,
5,s==7|map_005,40005,s==17|Đào lâm xanh tươi,0,
6,s==7|map_006,40006,s==18|Rừng xanh bạt ngàn,0,
7,s==7|map_007,40007,s==19|Đào lâm xanh tươi 2,0,
8,s==7|map_008,40008,s==13|Vàng cháy sém,1,
9,s==7|map_009,40009,s==17|Lửa vàng rực cháy,0,
10,s==7|map_010,40010,s==16|Rừng vàng rực rỡ,0,
11,s==7|map_011,40011,s==16|Núi vàng hùng vĩ,0,
12,s==7|map_012,40012,s==22|Màu vàng nguyên thủy 2,1,
13,s==7|map_013,40013,s==20|Màu vàng nguyên thủy,1,
14,s==7|map_014,40014,s==17|Tuyết nguyên thủy,1,
15,s==7|map_015,40015,s==19|Hoa văn tuyết trắng,1,
16,s==7|map_016,40016,s==11|Núi tuyết 1,0,
17,s==7|map_017,40017,s==11|Núi tuyết 2,0,
18,s==7|map_018,40018,s==11|Cây tuyết 1,0,
19,s==7|map_019,40019,s==11|Cây tuyết 2,0,
20,s==7|map_020,40020,s==22|Thủy vực góc trái trên,0,
21,s==7|map_021,40021,s==18|Thủy vực phía trên,0,
22,s==7|map_026,40022,s==22|Thủy vực góc phải trên,0,
23,s==7|map_022,40023,s==17|Thủy vực bên trái,0,
24,s==7|map_023,40024,s==18|Thủy vực trung tâm,0,
25,s==7|map_027,40025,s==17|Thủy vực bên phải,0,
26,s==7|map_024,40026,s==22|Thủy vực góc trái dưới,0,
27,s==7|map_025,40027,s==18|Thủy vực phía dưới,0,
28,s==7|map_028,40028,s==22|Thủy vực góc phải dưới,0,
29,s==7|map_029,40029,s==24|Thủy vực góc trái trên 2,0,
30,s==7|map_030,40030,s==24|Thủy vực góc trái dưới 2,0,
31,s==7|map_031,40031,s==24|Thủy vực góc phải trên 2,0,
32,s==7|map_032,40032,s==24|Thủy vực góc phải dưới 2,0,
33,s==7|map_033,40033,s==21|Màu tím nguyên thủy 1,1,
34,s==7|map_034,40034,s==21|Màu tím nguyên thủy 2,1,
35,s==7|map_035,40035,s==9|Núi tím 1,0,
36,s==7|map_036,40036,s==21|Màu tím nguyên thủy 2,0,
37,s==7|map_037,40037,s==18|Màu đỏ nguyên thủy,1,
38,s==7|map_038,40038,s==14|Hoa văn đỏ rực,1,
39,s==7|map_039,40039,s==8|Núi đỏ 1,0,
40,s==7|map_040,40040,s==8|Núi đỏ 2,0,
41,s==7|map_041,40041,s==19|Màu lam nguyên thủy,1,
42,s==7|map_042,40042,s==11|Hoa văn lam,1,
43,s==7|map_043,40043,s==9|Núi lam 1,0,
44,s==7|map_044,40044,s==9|Núi lam 2,0,
45,s==7|map_045,40045,s==20|Nội thành địa khối 1,1,
46,s==7|map_046,40046,s==20|Nội thành địa khối 2,1,
47,s==7|map_047,40047,s==13|Cao địa tuyết,0,
48,s==7|map_048,40048,s==9|Băng diện,1,
49,s==7|map_049,40049,s==17|Thanh Long thường,1,
50,s==7|map_050,40050,s==18|Thanh Long cao địa,0,
51,s==7|map_051,40051,s==15|Chu Tước thường,1,
52,s==7|map_052,40052,s==16|Chu Tước cao địa,0,
53,s==7|map_053,40053,s==14|Bạch Hổ thường,1,
54,s==7|map_054,40054,s==15|Bạch Hổ cao địa,0,
55,s==7|map_055,40055,s==15|Huyền Vũ thường,1,
56,s==7|map_056,40056,s==16|Huyền Vũ cao địa,0,
57,s==7|map_057,40057,s==23|Thủy diện có thể đi lại,1,
58,s==7|map_058,40058,s==23|Thủy diện có thể đi lại,1,
59,s==7|map_059,40059,s==23|Thủy diện có thể đi lại,1,
60,s==7|map_060,40060,s==23|Thủy diện có thể đi lại,1,
