id,activityId,taskGroup,includeTaskId,
1,3008,1,1001,
2,3008,1,1002,
3,3008,1,1003,
4,3008,1,2047,
5,3008,1,1005,
6,3008,1,1006,
7,3008,1,1007,
8,3008,1,1008,
9,3008,1,1009,
10,3008,1,1010,
11,3008,2,1001,
12,3008,2,1002,
13,3008,2,1003,
14,3008,2,2047,
15,3008,2,1011,
16,3008,2,1012,
17,3008,2,1013,
18,3008,2,1014,
19,3008,2,1015,
20,3008,2,1016,
21,3008,3,1001,
22,3008,3,1002,
23,3008,3,1003,
24,3008,3,2047,
25,3008,3,1017,
26,3008,3,1018,
27,3008,3,1019,
28,3008,3,1020,
29,3008,3,1021,
30,3008,3,1022,
31,3008,4,1001,
32,3008,4,1002,
33,3008,4,1003,
34,3008,4,2047,
35,3008,4,1023,
36,3008,4,1024,
37,3008,4,1025,
38,3008,4,1026,
39,3008,4,1027,
40,3008,4,1028,
41,3008,5,1001,
42,3008,5,1002,
43,3008,5,1003,
44,3008,5,2047,
45,3008,5,1029,
46,3008,5,1030,
47,3008,5,1031,
48,3008,5,1032,
49,3008,5,1033,
50,3008,5,1034,
51,3008,6,1001,
52,3008,6,1002,
53,3008,6,1003,
54,3008,6,2047,
55,3008,6,1035,
56,3008,6,1036,
57,3008,6,1037,
58,3008,6,1038,
59,3008,6,1039,
60,3008,6,1040,
61,3008,7,1001,
62,3008,7,1002,
63,3008,7,1003,
64,3008,7,2047,
65,3008,7,1041,
66,3008,7,1042,
67,3008,7,1043,
68,3008,7,1044,
69,3008,7,1045,
70,3008,7,1046,
71,3009,1,2001,
72,3009,1,2002,
73,3009,1,2003,
74,3009,1,2004,
75,3009,1,2005,
76,3009,1,2006,
77,3009,1,2007,
78,3009,1,2008,
79,3009,1,2009,
80,3009,1,2010,
81,3009,2,2001,
82,3009,2,2002,
83,3009,2,2003,
84,3009,2,2004,
85,3009,2,2011,
86,3009,2,2012,
87,3009,2,2013,
88,3009,2,2014,
89,3009,2,2015,
90,3009,2,2016,
91,3009,3,2001,
92,3009,3,2002,
93,3009,3,2003,
94,3009,3,2004,
95,3009,3,2017,
96,3009,3,2018,
97,3009,3,2019,
98,3009,3,2020,
99,3009,3,2021,
100,3009,3,2022,
101,3009,4,2001,
102,3009,4,2002,
103,3009,4,2003,
104,3009,4,2004,
105,3009,4,2023,
106,3009,4,2024,
107,3009,4,2025,
108,3009,4,2026,
109,3009,4,2027,
110,3009,4,2028,
111,3009,5,2001,
112,3009,5,2002,
113,3009,5,2003,
114,3009,5,2004,
115,3009,5,2029,
116,3009,5,2030,
117,3009,5,2031,
118,3009,5,2032,
119,3009,5,2033,
120,3009,5,2034,
121,3009,6,2001,
122,3009,6,2002,
123,3009,6,2003,
124,3009,6,2004,
125,3009,6,2035,
126,3009,6,2036,
127,3009,6,2037,
128,3009,6,2038,
129,3009,6,2039,
130,3009,6,2040,
131,3009,7,2001,
132,3009,7,2002,
133,3009,7,2003,
134,3009,7,2004,
135,3009,7,2041,
136,3009,7,2042,
137,3009,7,2043,
138,3009,7,2044,
139,3009,7,2045,
140,3009,7,2046,
